"hs","lalpha","auq1","AUQ2"
"0101210010","HORSES AND ASSES, PUREBRED BREEDING, MALE, LIVE","NO",
"0101210020","HORSES AND ASSES, PUREBRED BREEDING, FEMALE, LIVE","NO",
"0101290010","HORSES, IMPORTED FOR IMMEDIATE SLAUGHTER, LIVE, EXCEPT PUREBRED BREEDING","NO",
"0101290090","HORSES, LIVE, NESOI","NO",
"0101300000","ASSES, LIVE","NO",
"0101903000","MULES AND HINNIES, IMPORTED FOR IMMEDIATE SLAUGHTER, LIVE","NO",
"0101904000","MULES AND HINNIES, LIVE, NESOI","NO",
"0102210010","BOVINES, PUREBRED BREEDING, DAIRY, MALE, LIVE","NO",
"0102210020","BOVINES, PUREBRED BREEDING, DAIRY, FEMALE, LIVE","NO",
"0102210030","CATTLE, PUREBRED BREEDING, MALE, LIVE, EXCEPT DAIRY","NO",
"0102210050","CATTLE, PUREBRED BREEDING, FEMALE, LIVE, EXCEPT DAIRY","NO",
"0102292011","COWS, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING LESS THAN 90 KG EACH, LIVE, EXCEPT PUREBRED BREEDING","NO","KG"
"0102292012","COWS, IMPORTED SPECIALLY FOR DAIRY PURPOSES, WEIGHING 90 KG OR MORE EACH, LIVE, EXCEPT PUREBRED BREEDING","NO","KG"
"0102294024","CATTLE, LIVE, MALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","NO","KG"
"0102294028","CATTLE, LIVE, FEMALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","NO","KG"
"0102294034","CATTLE, LIVE, MALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","NO","KG"
"0102294038","CATTLE, LIVE, FEMALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","NO","KG"
"0102294054","CATTLE, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","NO","KG"
"0102294058","CATTLE, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR DAIRY","NO","KG"
"0102294062","STEERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102294064","BULLS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102294066","COWS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102294068","HEIFERS, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102294072","CATTLE, LIVE, FOR BREEDING, MALE, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102294074","CATTLE, LIVE, IMPORTED FOR BREEDING, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102294082","CATTLE, LIVE, MALE, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102294084","CATTLE, LIVE, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102310010","BUFFALO, LIVE, PUREBRED BREEDING, MALE, OTHER THAN DAIRY","NO",
"0102310020","BUFFALO, LIVE, PUREBRED BREEDING, FEMALE, OTHER THAN DAIRY","NO",
"0102390010","BISON, LIVE","NO","KG"
"0102390024","BUFFALO, LIVE, MALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","NO","KG"
"0102390028","BUFFALO, LIVE, FEMALE, WEIGHING LESS THAN 90 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","NO","KG"
"0102390034","BUFFALO, LIVE, MALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","NO","KG"
"0102390038","BUFFALO, LIVE, FEMALE, WEIGHING 90 KG OR MORE BUT LESS THAN 200 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","NO","KG"
"0102390054","BUFFALO, LIVE, MALE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","NO","KG"
"0102390058","BUFFALO, FEMALE, LIVE, WEIGHING 200 KG OR MORE BUT LESS THAN 320 KG EACH, OTHER THAN PUREBRED BREEDING AND/OR BISON","NO","KG"
"0102390061","BUFFALO, LIVE, IMPORTED FOR IMMEDIATE SLAUGHTER, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
